yearweek,id_week,netsales_online
201501,1,36999601
201502,2,48835239
201503,3,36129866
201504,4,38837398
201505,5,37626122
201506,6,32634668
201507,7,30644601
201508,8,36852284
201509,9,37126552
201510,10,44474706
201511,11,35680501
201512,12,37537325
201513,13,42481133
201514,14,32632965
201515,15,33141322
201516,16,32228631
201517,17,42475166
201518,18,35320451
201519,19,34615373
201520,20,36262031
201521,21,33241036
201522,22,37175270
201523,23,39090360
201524,24,30531806
201525,25,39814524
201526,26,36623924
201527,27,37843529
201528,28,35533908
201529,29,32692451
201530,30,34229288
201531,31,32667775
201532,32,38308176
201533,33,33837233
201534,34,34200142
201535,35,35570594
201536,36,41015458
201537,37,41338336
201538,38,46788160
201539,39,41373853
201540,40,42478150
201541,41,42355486
201542,42,49033441
201543,43,46619524
201544,44,47150426
201545,45,50889994
201546,46,58559556
201547,47,54731924
201548,48,58717865
201549,49,64294037
201550,50,56269324
201551,51,43963498
201552,52,36433669
201601,53,40015047
201602,54,34619683
201603,55,42885386
201604,56,44777727
201605,57,38761934
201606,58,42204320
201607,59,45470260
201608,60,44647995
201609,61,44439930
201610,62,45878082
201611,63,44907154
201612,64,38461217
201613,65,41699755
201614,66,39974799
201615,67,37859152
201616,68,36864697
201617,69,47848759
201618,70,34791839
201619,71,50098061
201620,72,43307979
201621,73,36867560
201622,74,44024636
201623,75,42113041
201624,76,42040504
201625,77,45344475
201626,78,39922316
201627,79,40101451
201628,80,40901761
201629,81,34222017
201630,82,34531199
201631,83,37987991
201632,84,38162458
201633,85,39052746
201634,86,39519019
201635,87,35943549
201636,88,46629519
201637,89,38488718
201638,90,47121663
201639,91,43205084
201640,92,42478150
201641,93,48559809
201642,94,52416833
201643,95,50810617
201644,96,52756514
201645,97,55275743
201646,98,63345168
201647,99,57852432
201648,100,67127018
201649,101,68467712
201650,102,58680613
201651,103,54737272
201652,104,46544497
201701,105,45974940
201702,106,53226799
201703,107,45405609
201704,108,46229278
201705,109,54386926
201706,110,49484691
201707,111,44851576
201708,112,42241253
201709,113,45679890
201710,114,58634939
201711,115,48308432
201712,116,47623925
201713,117,47919816
201714,118,50031070
201715,119,42330426
201716,120,42700169
201717,121,44953168
201718,122,44776037
201719,123,53204296
201720,124,46387785
201721,125,44382437
201722,126,47973591
201723,127,44943958
201724,128,42199981
201725,129,47442884
201726,130,40696782
